,DataType,MissingValues,MissingPercentage,UniqueValues
patient_id,str,0,0.0,1000
age,float64,56,5.6000000000000005,70
bmi,float64,46,4.6,954
gender,str,50,5.0,2
ethnicity,str,48,4.8,5
smoking_status,str,53,5.3,3
alcohol_use,str,350,35.0,2
family_history,str,47,4.7,2
comorbidities_count,float64,47,4.7,6
ecog_performance,float64,48,4.8,5
stage_numeric,float64,42,4.2,4
tumor_grade,str,51,5.1,5
histology,str,52,5.2,5
lesion_count,float64,52,5.2,10
tumor_burden_mm,float64,55,5.5,935
egfr_mutation,str,52,5.2,3
alk_mutation,str,57,5.7,3
kras_mutation,str,53,5.3,3
braf_mutation,str,45,4.5,3
ros1_mutation,str,65,6.5,3
brca1_mutation,str,58,5.800000000000001,3
brca2_mutation,str,42,4.2,3
pik3ca_mutation,str,43,4.3,3
pdl1_expression,float64,57,5.7,859
tmb_score,float64,50,5.0,938
msi_status,str,40,4.0,3
met_amplification,float64,56,5.6000000000000005,2
ret_fusion,float64,45,4.5,2
ntrk_fusion,float64,42,4.2,2
her2_status,str,50,5.0,3
liver_metastasis,float64,54,5.4,2
lung_metastasis,float64,48,4.8,2
brain_metastasis,float64,55,5.5,2
bone_metastasis,float64,48,4.8,2
peritoneal_metastasis,float64,39,3.9,2
lymph_node_involvement,str,48,4.8,2
prior_chemo,float64,60,6.0,2
prior_radiation,float64,47,4.7,2
prior_surgery,float64,54,5.4,2
prior_immunotherapy,float64,54,5.4,2
prior_targeted_therapy,float64,52,5.2,2
line_of_therapy,float64,50,5.0,4
treatment_type,str,54,5.4,4
baseline_wbc,float64,45,4.5,955
baseline_hgb,float64,47,4.7,953
baseline_plt,float64,47,4.7,953
baseline_alt,float64,60,6.0,940
baseline_ast,float64,41,4.1000000000000005,959
baseline_alp,float64,48,4.8,952
baseline_bilirubin,float64,54,5.4,946
baseline_creatinine,float64,51,5.1,949
baseline_albumin,float64,62,6.2,938
baseline_ldh,float64,52,5.2,948
baseline_crp,float64,55,5.5,794
baseline_cea,float64,51,5.1,807
baseline_ca125,float64,55,5.5,891
baseline_cdna,float64,62,6.2,938
week4_cdna,float64,43,4.3,957
treatment_response_flag,int64,0,0.0,2
overall_survival_months,float64,51,5.1,940
os_event_flag,float64,44,4.3999999999999995,2
progression_free_survival_months,float64,54,5.4,946
pfs_event_flag,float64,41,4.1000000000000005,2
time_to_response_months,float64,273,27.3,727
duration_of_response_months,float64,273,27.3,727
best_overall_response,str,47,4.7,4
ct_3mo_tumor_mm,float64,42,4.2,950
ct_3mo_recist,str,34,3.4000000000000004,2
ct_6mo_tumor_mm,float64,43,4.3,957
ct_6mo_recist,str,43,4.3,2
ct_12mo_tumor_mm,float64,44,4.3999999999999995,956
ct_12mo_recist,str,46,4.6,2
ct_24mo_tumor_mm,float64,48,4.8,952
ct_24mo_recist,str,48,4.8,2
adverse_event_grade,float64,58,5.800000000000001,6
